iter	Passed	Remaining
0	0	89
1	1	73
2	2	66
3	2	59
4	3	59
5	3	57
6	4	56
7	4	55
8	5	55
9	6	55
10	7	58
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	40
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	38	22
63	39	22
64	40	21
65	41	21
66	41	20
67	42	20
68	43	19
69	44	18
70	45	18
71	45	17
72	47	17
73	48	16
74	48	16
75	49	15
76	50	15
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
